path,lines,named_by_tests,named_in_protects,layer
lib/alpine-bundle.js,377,38,no,lib other
lib/alpineComponents/branch-brief.js,1741,13,yes,lib/alpineComponents
lib/alpineComponents/cm-editor.js,74,0,no,lib/alpineComponents
lib/alpineComponents/compress-input-cm.js,221,0,no,lib/alpineComponents
lib/alpineComponents/compress-output.js,176,0,no,lib/alpineComponents
lib/alpineComponents/config.js,808,28,yes,lib/alpineComponents
lib/alpineComponents/console.js,259,57,yes,lib/alpineComponents
lib/alpineComponents/counter.js,13,8,yes,lib/alpineComponents
lib/alpineComponents/crumb-bar.js,121,0,no,lib/alpineComponents
lib/alpineComponents/drop-zone.js,153,2,no,lib/alpineComponents
lib/alpineComponents/estate.js,8594,84,yes,lib/alpineComponents
lib/alpineComponents/fab.js,5361,23,yes,lib/alpineComponents
lib/alpineComponents/file-review.js,1159,8,no,lib/alpineComponents
lib/alpineComponents/idb-importer.js,303,0,no,lib/alpineComponents
lib/alpineComponents/idb-tree.js,124,0,no,lib/alpineComponents
lib/alpineComponents/map.js,4771,172,yes,lib/alpineComponents
lib/alpineComponents/mention.js,451,5,no,lib/alpineComponents
lib/alpineComponents/path-picker.js,433,11,yes,lib/alpineComponents
lib/alpineComponents/proposals.js,459,3,yes,lib/alpineComponents
lib/alpineComponents/public-browse.js,222,1,no,lib/alpineComponents
lib/alpineComponents/quick-find.js,599,2,no,lib/alpineComponents
lib/alpineComponents/ref-picker.js,226,2,no,lib/alpineComponents
lib/alpineComponents/ref-switch.js,650,3,no,lib/alpineComponents
lib/alpineComponents/repo-menu.js,107,0,no,lib/alpineComponents
lib/alpineComponents/repo.js,629,146,yes,lib/alpineComponents
lib/alpineComponents/search-view.js,984,3,no,lib/alpineComponents
lib/alpineComponents/session-brief.js,821,5,no,lib/alpineComponents
lib/alpineComponents/sheet-modal.js,205,1,no,lib/alpineComponents
lib/alpineComponents/stage.js,4799,46,yes,lib/alpineComponents
lib/alpineComponents/state-view.js,2419,8,no,lib/alpineComponents
lib/alpineComponents/tools.js,203,110,no,lib/alpineComponents
lib/alpineComponents/transform-workbench.js,2220,1,no,lib/alpineComponents
lib/alpineComponents/viewer.js,3187,39,yes,lib/alpineComponents
lib/build.js,194,76,yes,lib other
lib/gh-api.js,386,19,no,lib other
lib/gh-auth.js,152,3,no,lib other
lib/gh-boot.js,461,17,yes,lib other
lib/gh-fetch.js,517,9,no,lib other
lib/gh-store.js,140,3,no,lib other
lib/gh-transfer.js,142,1,no,lib other
lib/kits/annotate.js,4833,12,no,lib/kits
lib/kits/branch-brief.js,376,13,yes,lib/kits
lib/kits/branch-status.js,531,14,no,lib/kits
lib/kits/brief.js,225,8,yes,lib/kits
lib/kits/chat-archive.js,267,2,no,lib/kits
lib/kits/chat-render.js,1148,11,no,lib/kits
lib/kits/claude-mark.js,61,2,no,lib/kits
lib/kits/closing-state.js,126,10,no,lib/kits
lib/kits/cm6-merge.js,161,1,no,lib/kits
lib/kits/cm6.js,225,1,no,lib/kits
lib/kits/code-doc.js,91,2,no,lib/kits
lib/kits/compression.js,364,7,no,lib/kits
lib/kits/console.js,114,57,yes,lib/kits
lib/kits/content-registry.js,110,6,no,lib/kits
lib/kits/crawl-runs.js,88,7,no,lib/kits
lib/kits/csv.js,53,61,yes,lib/kits
lib/kits/data-payload.js,189,2,no,lib/kits
lib/kits/data-shelf.js,61,1,no,lib/kits
lib/kits/dictate.js,1406,7,yes,lib/kits
lib/kits/dock-split.js,263,4,yes,lib/kits
lib/kits/docx.js,496,4,yes,lib/kits
lib/kits/estate-search.js,353,4,no,lib/kits
lib/kits/export.js,186,18,yes,lib/kits
lib/kits/file-deck.js,370,9,no,lib/kits
lib/kits/github-links.js,97,3,no,lib/kits
lib/kits/guide-render.js,288,11,no,lib/kits
lib/kits/io.js,212,29,yes,lib/kits
lib/kits/land.js,223,36,yes,lib/kits
lib/kits/last-write.js,69,2,no,lib/kits
lib/kits/md-doc.js,679,7,no,lib/kits
lib/kits/messaging.js,67,2,no,lib/kits
lib/kits/note.js,288,61,yes,lib/kits
lib/kits/pdf.js,2028,17,yes,lib/kits
lib/kits/peek.js,626,12,yes,lib/kits
lib/kits/persistence.js,342,3,no,lib/kits
lib/kits/portable-align.js,67,1,no,lib/kits
lib/kits/proof.js,82,7,no,lib/kits
lib/kits/read-aloud.js,424,4,no,lib/kits
lib/kits/record-deck.js,328,2,no,lib/kits
lib/kits/repo-activity-cache.js,214,7,no,lib/kits
lib/kits/repo-address.js,148,12,no,lib/kits
lib/kits/repo-checks.js,318,1,no,lib/kits
lib/kits/repo-config-cache.js,119,3,no,lib/kits
lib/kits/repo-mailbox.js,132,3,no,lib/kits
lib/kits/repo-proposals.js,657,2,no,lib/kits
lib/kits/repo-sessions-cache.js,1416,10,no,lib/kits
lib/kits/review-target.js,132,1,no,lib/kits
lib/kits/route-activity.js,319,4,no,lib/kits
lib/kits/row-menu.js,241,2,no,lib/kits
lib/kits/session-export.js,1123,6,no,lib/kits
lib/kits/session-render.js,876,8,no,lib/kits
lib/kits/shorter-payload.js,75,2,no,lib/kits
lib/kits/source-peek.js,476,6,no,lib/kits
lib/kits/src-doc.js,96,5,no,lib/kits
lib/kits/stage-handoff.js,125,2,no,lib/kits
lib/kits/standoff.js,470,5,yes,lib/kits
lib/kits/subject-channel.js,139,4,no,lib/kits
lib/kits/surface.js,204,55,yes,lib/kits
lib/kits/swipe-deck.js,1268,32,yes,lib/kits
lib/kits/text-diff.js,317,6,no,lib/kits
lib/kits/traffic.js,393,7,yes,lib/kits
lib/kits/treemap.js,153,1,no,lib/kits
lib/kits/url-params.js,148,8,no,lib/kits
lib/kits/vanilla-demo.js,502,1,no,lib/kits
lib/kits/wring.js,1503,2,no,lib/kits
lib/kits/wsl-core.js,350,2,no,lib/kits
lib/kits/wsl.js,298,1,no,lib/kits
lib/kits/xlsx.js,1853,10,yes,lib/kits
lib/ops/session-menu.js,211,2,yes,lib other
lib/vanilla-bundle.js,215,10,no,lib other
scripts/blank-icons.py,173,2,yes,scripts
scripts/bound-boolean-attrs.py,236,1,yes,scripts
scripts/build-tree.py,251,0,no,scripts
scripts/check-branch-status.mjs,144,0,no,scripts
scripts/code-shape.py,381,1,yes,scripts
scripts/dead-links.py,252,3,no,scripts
scripts/dead-opacity.py,151,3,yes,scripts
scripts/declared-paths.py,136,0,no,scripts
scripts/doc-growth.py,175,3,no,scripts
scripts/doc-placement.py,103,0,no,scripts
scripts/duplicated-claims.py,238,2,no,scripts
scripts/embedded-prose.py,758,0,no,scripts
scripts/mcp-link-safe.py,208,1,no,scripts
scripts/ocr-pdf.py,186,0,no,scripts
scripts/page-strips.py,96,0,no,scripts
scripts/showing.py,434,46,yes,scripts
scripts/stranded-titles.py,325,1,yes,scripts
