record,day,started,verdict,hub_checkout,surfacing_in_context,hub_claude_md_sha,skill_calls
2026-08-14-e901e06a.json,2026-08-14,2026-08-14T17:41:24Z,import,yes,yes,4e5e4f9a1a1b,1
2026-08-27-1dbd305e.json,2026-08-27,2026-08-27T15:42:33Z,import,yes,yes,fd6699838f20,0
2026-08-27-c65826d2.json,2026-08-27,2026-08-27T15:57:27Z,neither,no,no,,0
2026-08-27-b5d089ea.json,2026-08-27,2026-08-27T20:37:27Z,import,yes,yes,fd6699838f20,0
2026-08-27-b619ae16.json,2026-08-27,2026-08-27T20:51:54Z,import,yes,yes,fd6699838f20,0
2026-08-27-e651a333.json,2026-08-27,2026-08-27T21:56:19Z,import,yes,yes,fd6699838f20,0
2026-08-27-aa22948f.json,2026-08-27,2026-08-27T22:04:49Z,neither,no,no,,0
2026-08-27-e3ab68b8.json,2026-08-27,2026-08-27T22:17:51Z,import,yes,yes,fd6699838f20,0
2026-08-27-cf64136e.json,2026-08-27,2026-08-27T22:36:01Z,import,yes,yes,fd6699838f20,0
2026-08-27-4d5dfcc9.json,2026-08-27,2026-08-27T22:56:11Z,import,yes,yes,fd6699838f20,0
2026-08-28-3431a62c.json,2026-08-28,2026-08-28T00:58:53Z,import,yes,yes,fd6699838f20,1
2026-08-28-d7be7556.json,2026-08-28,2026-08-28T03:33:22Z,import,yes,yes,fd6699838f20,1
2026-08-28-9a08c5c1.json,2026-08-28,2026-08-28T03:38:26Z,import,yes,yes,fd6699838f20,0
2026-08-28-497826ca.json,2026-08-28,2026-08-28T04:54:56Z,import,yes,yes,fd6699838f20,1
2026-08-28-f8369ff9.json,2026-08-28,2026-08-28T06:25:35Z,import,yes,yes,fd6699838f20,0
2026-08-28-7ae5c8bc.json,2026-08-28,2026-08-28T14:05:10Z,import,yes,yes,fd6699838f20,0
2026-08-28-0bbfeb45.json,2026-08-28,2026-08-28T14:10:20Z,import,yes,yes,fd6699838f20,0
2026-08-28-207ae34d.json,2026-08-28,2026-08-28T14:23:31Z,import,yes,yes,fd6699838f20,2
2026-08-28-92038206.json,2026-08-28,2026-08-28T14:25:01Z,import,yes,yes,fd6699838f20,1
2026-08-28-a7f9d31b.json,2026-08-28,2026-08-28T15:01:57Z,import,yes,yes,fd6699838f20,0
2026-08-28-fb22da95.json,2026-08-28,2026-08-28T16:49:58Z,import,yes,yes,fd6699838f20,2
2026-08-28-f8e12c57.json,2026-08-28,2026-08-28T17:39:17Z,import,yes,yes,fd6699838f20,1
2026-08-28-c76c7dbf.json,2026-08-28,2026-08-28T17:50:56Z,import,yes,yes,fd6699838f20,0
2026-08-28-b8e7b5a9.json,2026-08-28,2026-08-28T18:00:25Z,import,yes,yes,fd6699838f20,1
2026-08-28-85797ef0.json,2026-08-28,2026-08-28T19:51:16Z,import,yes,yes,fd6699838f20,0
2026-08-28-af090ec7.json,2026-08-28,2026-08-28T20:30:23Z,import,yes,yes,fd6699838f20,0
2026-08-28-54923707.json,2026-08-28,2026-08-28T23:15:22Z,import,yes,yes,fd6699838f20,1
2026-08-29-6250b120.json,2026-08-29,2026-08-29T00:12:22Z,import,yes,yes,fd6699838f20,0
2026-08-29-6fa17c15.json,2026-08-29,2026-08-29T01:16:38Z,import,yes,yes,fd6699838f20,1
2026-08-29-239de92d.json,2026-08-29,2026-08-29T01:41:06Z,import,yes,yes,fd6699838f20,0
2026-08-29-61ccf2df.json,2026-08-29,2026-08-29T05:00:34Z,import,yes,yes,fd6699838f20,3
2026-08-29-8f3e6643.json,2026-08-29,2026-08-29T05:20:25Z,import,yes,yes,fd6699838f20,0
2026-08-29-c86ba044.json,2026-08-29,2026-08-29T06:02:07Z,import,yes,yes,fd6699838f20,1
2026-08-29-c8e4a323.json,2026-08-29,2026-08-29T15:11:34Z,import,yes,yes,fd6699838f20,2
2026-08-29-0046cceb.json,2026-08-29,2026-08-29T16:47:42Z,import,yes,yes,fd6699838f20,0
2026-08-29-d762e76b.json,2026-08-29,2026-08-29T20:00:16Z,import,yes,yes,fd6699838f20,1
2026-08-30-baa9edb1.json,2026-08-30,2026-08-30T05:46:32Z,import,yes,yes,fd6699838f20,1
2026-08-30-ea512722.json,2026-08-30,2026-08-30T06:05:45Z,import,yes,yes,fd6699838f20,1
2026-08-30-46d3eeb0.json,2026-08-30,2026-08-30T06:19:02Z,import,yes,yes,fd6699838f20,0
2026-08-30-05bc515d.json,2026-08-30,2026-08-30T15:48:28Z,import,yes,yes,fd6699838f20,0
2026-08-30-7539c35e.json,2026-08-30,2026-08-30T17:18:40Z,import,yes,yes,fd6699838f20,0
2026-08-30-74e3586e.json,2026-08-30,2026-08-30T17:24:05Z,import,yes,yes,e014c8880a9b fd6699838f20,1
2026-08-30-e372a618.json,2026-08-30,2026-08-30T17:31:32Z,import,yes,yes,fd6699838f20,0
2026-08-30-6efa3bef.json,2026-08-30,2026-08-30T17:51:02Z,import,yes,yes,fd6699838f20,1
2026-08-31-24b36422.json,2026-08-31,2026-08-31T14:13:23Z,import,yes,yes,fd6699838f20,1
2026-08-31-d931abc2.json,2026-08-31,2026-08-31T15:22:51Z,import,yes,yes,fd6699838f20,0
