path,rows,columns,bytes,headers
.claude/skills/file-retrieval/sources.csv,10,2,227,"[""source"",""glob""]"
data/checks-reading/2026-09-05-gaps.csv,152,5,7377,"[""path"",""lines"",""named_by_tests"",""named_in_protects"",""layer""]"
data/checks-reading/2026-09-05-reading.csv,243,17,310600,"[""path"",""repo"",""oracle"",""scope"",""data_kinds"",""blocks"",""stop_sites"",""resists"",""confidence"",""construction"",""objects"",""smells"",""misses"",""expert_reading"",""oracle_notes"",""resists_why"",""shard""]"
data/checks-reading/explanations.csv,82,17,71365,"[""repo"",""artifact"",""script"",""where"",""script_sha"",""kind"",""term"",""requirement"",""a"",""a_mode"",""b"",""b_mode"",""failure"",""limit"",""blocks"",""unit"",""count""]"
data/column-primitives/2026-09-10-manifest-fields-pilot.csv,58,5,3493,"[""key"",""declared_type"",""primitive"",""cardinality"",""note""]"
data/conventions-delivery/2026-09-13-reading.csv,168,8,15237,"[""record"",""day"",""started"",""verdict"",""hub_checkout"",""surfacing_in_context"",""hub_claude_md_sha"",""skill_calls""]"
data/csv-census.csv,43,5,5154,"[""path"",""rows"",""columns"",""bytes"",""headers""]"
data/design/content.csv,22,4,2476,"[""locator"",""creation_mode"",""analysis_use"",""description""]"
data/report-layout/three-way-compare.csv,35,6,1738,"[""group"",""subgroup"",""item"",""version"",""year"",""value""]"
docs/aims-goals.csv,5,3,380,"[""key"",""name"",""gloss""]"
docs/aims-initiatives.csv,5,3,839,"[""key"",""name"",""gloss""]"
docs/aims-reading.csv,5,4,378,"[""repo"",""path"",""private"",""gloss""]"
docs/app-routes.csv,23,12,12072,"[""key"",""address"",""label"",""stop"",""group"",""what"",""files"",""note"",""doc"",""tabs"",""alias"",""reads""]"
docs/assistant-branches.csv,7,5,1090,"[""branch"",""repo"",""assistant"",""basis"",""declared""]"
docs/direct-to-main.csv,4,6,678,"[""process"",""target_repo"",""path_pattern"",""writer"",""sync_discipline"",""purpose""]"
docs/docs.csv,109,7,28226,"[""path"",""subject"",""status"",""reach"",""words"",""maintenance"",""formerly""]"
docs/harness.csv,287,8,55319,"[""path"",""role"",""layer"",""lines"",""invocation"",""emits"",""named"",""tested""]"
docs/kits.csv,99,8,12615,"[""path"",""namespace"",""gloss"",""lines"",""boot"",""demo"",""users"",""tested""]"
docs/manifest-fields.csv,74,6,19694,"[""key"",""type"",""consumer"",""status"",""required"",""summary""]"
docs/owners.csv,11,4,1687,"[""subject"",""kind"",""applies_to"",""authoritative""]"
docs/portable.csv,52,6,7813,"[""kind"",""command"",""path"",""title"",""role"",""use""]"
docs/properties.csv,201,10,30186,"[""registry"",""property"",""mode"",""deriver"",""required"",""form"",""exclusive"",""values"",""column_primitive"",""gloss""]"
docs/registries.csv,35,15,15355,"[""id"",""path"",""key"",""identity"",""membership"",""inherits"",""target"",""scope"",""span"",""fields"",""gate"",""area"",""title"",""gloss"",""renders_in""]"
docs/repetitions.csv,19,4,3492,"[""subject"",""where"",""relation"",""check""]"
docs/routes-kinds.csv,11,15,1344,"[""kind"",""label"",""subject"",""detect"",""exclusive"",""view"",""route"",""shown_by"",""kit"",""unit"",""address"",""aim"",""aim_label"",""aim_hint"",""aim_icon""]"
docs/routes-modes.csv,7,7,2462,"[""param"",""form"",""carries"",""trust"",""sandbox"",""reach"",""note""]"
docs/routes-paste.csv,6,6,2682,"[""surface"",""path"",""recognizes"",""becomes"",""declines_to"",""gate""]"
docs/routes-routes.csv,4,7,1595,"[""key"",""repo"",""ref"",""path"",""renders"",""doc"",""example""]"
docs/run-methods.csv,3,5,759,"[""method"",""venues"",""output_return"",""rules"",""gloss""]"
docs/showing-mechanisms.csv,8,11,3988,"[""key"",""glyph"",""label"",""form"",""subject"",""version"",""viewer"",""reaches"",""misses"",""use"",""trap""]"
docs/snags.csv,109,6,14726,"[""slug"",""title"",""count"",""last_seen"",""seen"",""targets""]"
docs/subjects.csv,9,8,2726,"[""key"",""label"",""needs"",""carrier"",""doc"",""detect"",""icon"",""gloss""]"
docs/surfacing.csv,22,7,7621,"[""key"",""lead"",""title"",""glyph"",""use"",""form"",""boundary""]"
docs/tests.csv,323,8,357362,"[""path"",""kind"",""protects"",""assertions"",""method"",""runner"",""boot_smoke"",""assertion_names""]"
docs/text-fields.csv,13,5,3999,"[""field"",""audience"",""gloss"",""use_when"",""instead_of""]"
docs/themes.csv,50,7,11404,"[""a"",""b"",""w"",""rule"",""quoted"",""shingle"",""scanned""]"
docs/tools.csv,5,2,190,"[""path"",""icon""]"
docs/vocabularies.csv,38,5,4969,"[""registry"",""property"",""value"",""label"",""gloss""]"
pages/pages.csv,102,8,21861,"[""top"",""group"",""label"",""title"",""href"",""thumb"",""code"",""note""]"
skills/doc-craft/binding/runs.csv,12,9,1238,"[""date"",""target"",""units"",""words_before"",""words_after"",""floor_pct"",""achieved_pct"",""real_losses"",""caught_by""]"
skills/manifest.csv,45,3,21567,"[""name"",""group"",""description""]"
tracker/board-tags.csv,12,3,674,"[""task"",""tag"",""value""]"
tracker/board.csv,101,15,25307,"[""id"",""title"",""status"",""project"",""depends-on"",""opened"",""closed"",""session"",""size"",""awaiting"",""blockedBy"",""file"",""href"",""lastActivity"",""logEntries""]"
