task,tag,value
backfill-guide-regions-merge-guide-bkk4xv,resolution,superseded
estate-js-commentary-read-mymt4u,resolution,duplicate
fab-declared-embeds-1jtpll,priority,someday
fab-declared-embeds-1jtpll,resolution,dropped
live-confirm-graphql-queries-7maacy,resolution,confirmed-live
one-copy-of-the-conventions-i9i931,resolution,superseded
private-repo-landing-federation-u50nns,resolution,superseded
promote-shortcuts-skill-to-plugin-5d74br,resolution,promoted
repo-level-github-links-shield-9aufgx,priority,low
repo-level-github-links-shield-9aufgx,resolution,superseded
split-stage-contract-74a7vh,resolution,duplicate
stranded-titles-panel-or-drop-o6hqom,priority,low
